B, 48, 2898
P, 48, 0
D, 48, 255
B, 52, 2898
P, 52, 1
D, 52, 25
B, 60, 2898
P, 60, 0
D, 60, 255
B, 64, 2898
P, 64, 1
D, 64, 15
B, 68, 2898
P, 68, 0
D, 68, 255
V, 70, 2879
H, 70, 1
C, 70, 1360
B, 72, 2898
P, 72, 0
D, 72, 255
V, 74, 2879
H, 74, 0
C, 74, 1432
B, 76, 2898
P, 76, 1
D, 76, 10
V, 78, 2879
H, 78, 1
C, 78, 1356
B, 80, 2898
P, 80, 0
D, 80, 255
V, 82, 2879
H, 82, 0
C, 82, 1446
V, 94, 2879
H, 94, 0
C, 94, 1446
B, 96, 2898
P, 96, 0
D, 96, 255
B, 100, 2898
P, 100, 1
D, 100, 15
B, 104, 2898
P, 104, 0
D, 104, 255
V, 118, 2879
H, 118, 0
C, 118, 1444
B, 120, 2898
P, 120, 0
D, 120, 255
B, 140, 2898
P, 140, 1
D, 140, 13
V, 142, 2879
H, 142, 1
C, 142, 1388
B, 144, 2898
P, 144, 1
D, 144, 11
V, 146, 2879
H, 146, 0
C, 146, 1434
B, 148, 2898
P, 148, 0
D, 148, 255
V, 166, 2879
H, 166, 0
C, 166, 1442
B, 168, 2898
P, 168, 0
D, 168, 255
V, 190, 2879
H, 190, 0
C, 190, 1438
B, 192, 2898
P, 192, 0
D, 192, 255
V, 214, 2879
H, 214, 0
C, 214, 1436
B, 216, 2898
P, 216, 0
D, 216, 255
V, 238, 2879
H, 238, 0
C, 238, 1434
B, 240, 2898
P, 240, 0
D, 240, 255
V, 262, 2879
H, 262, 0
C, 262, 1434
B, 264, 2898
P, 264, 0
D, 264, 255
V, 286, 2879
H, 286, 0
C, 286, 1432
B, 288, 2898
P, 288, 0
D, 288, 255
V, 310, 2879
H, 310, 0
C, 310, 1432
B, 312, 2898
P, 312, 0
D, 312, 255
V, 334, 2879
H, 334, 0
C, 334, 1430
B, 336, 2898
P, 336, 0
D, 336, 255
V, 358, 2879
H, 358, 0
C, 358, 1430
B, 360, 2898
P, 360, 0
D, 360, 255
V, 382, 2879
H, 382, 0
C, 382, 1430
B, 384, 2898
P, 384, 0
D, 384, 255
V, 406, 2879
H, 406, 0
C, 406, 1428
B, 408, 2898
P, 408, 0
D, 408, 255
V, 430, 2879
H, 430, 0
C, 430, 1428
B, 432, 2898
P, 432, 0
D, 432, 255
V, 454, 2879
H, 454, 0
C, 454, 1428
B, 456, 2898
P, 456, 0
D, 456, 255
V, 478, 2879
H, 478, 0
C, 478, 1428
B, 480, 2898
P, 480, 0
D, 480, 255
V, 502, 2879
H, 502, 0
C, 502, 1426
B, 504, 2898
P, 504, 0
D, 504, 255
V, 526, 2879
H, 526, 0
C, 526, 1426
B, 528, 2898
P, 528, 0
D, 528, 255
V, 550, 2879
H, 550, 0
C, 550, 1426
B, 552, 2898
P, 552, 0
D, 552, 255
V, 574, 2879
H, 574, 0
C, 574, 1426
B, 576, 2898
P, 576, 0
D, 576, 255
V, 598, 2879
H, 598, 0
C, 598, 1426
B, 600, 2898
P, 600, 0
D, 600, 255
V, 622, 2879
H, 622, 0
C, 622, 1426
B, 624, 2898
P, 624, 0
D, 624, 255
V, 646, 2879
H, 646, 0
C, 646, 1426
B, 648, 2898
P, 648, 0
D, 648, 255
V, 670, 2879
H, 670, 0
C, 670, 1426
B, 672, 2898
P, 672, 0
D, 672, 255
V, 694, 2879
H, 694, 0
C, 694, 1426
B, 696, 2898
P, 696, 0
D, 696, 255
V, 718, 2879
H, 718, 0
C, 718, 1426
B, 720, 2898
P, 720, 0
D, 720, 255
V, 742, 2879
H, 742, 0
C, 742, 1426
B, 744, 2898
P, 744, 0
D, 744, 255
V, 766, 2879
H, 766, 0
C, 766, 1424
B, 768, 2898
P, 768, 0
D, 768, 255
V, 790, 2879
H, 790, 0
C, 790, 1424
B, 792, 2898
P, 792, 0
D, 792, 255
V, 814, 2879
H, 814, 0
C, 814, 1424
B, 816, 2898
P, 816, 0
D, 816, 255
V, 838, 2879
H, 838, 0
C, 838, 1424
B, 840, 2898
P, 840, 0
D, 840, 255
V, 862, 2879
H, 862, 0
C, 862, 1426
B, 864, 2898
P, 864, 0
D, 864, 255
V, 886, 2879
H, 886, 0
C, 886, 1426
B, 888, 2898
P, 888, 0
D, 888, 255
V, 910, 2879
H, 910, 0
C, 910, 1426
B, 912, 2898
P, 912, 0
D, 912, 255
V, 934, 2879
H, 934, 0
C, 934, 1426
B, 936, 2898
P, 936, 0
D, 936, 255
V, 958, 2879
H, 958, 0
C, 958, 1426
B, 960, 2898
P, 960, 0
D, 960, 255
V, 982, 2879
H, 982, 0
C, 982, 1426
B, 984, 2898
P, 984, 0
D, 984, 255
V, 1006, 2879
H, 1006, 0
C, 1006, 1426
B, 1008, 2898
P, 1008, 0
D, 1008, 255
V, 1030, 2879
H, 1030, 0
C, 1030, 1426
B, 1032, 2898
P, 1032, 0
D, 1032, 255
V, 1054, 2879
H, 1054, 0
C, 1054, 1426
B, 1056, 2898
P, 1056, 0
D, 1056, 255
V, 1078, 2879
H, 1078, 0
C, 1078, 1426
B, 1080, 2898
P, 1080, 0
D, 1080, 255
V, 1102, 2879
H, 1102, 0
C, 1102, 1426
B, 1104, 2898
P, 1104, 0
D, 1104, 255
V, 1126, 2879
H, 1126, 0
C, 1126, 1426
B, 1128, 2898
P, 1128, 0
D, 1128, 255
V, 1150, 2879
H, 1150, 0
C, 1150, 1426
B, 1152, 2898
P, 1152, 0
D, 1152, 255
V, 1174, 2879
H, 1174, 0
C, 1174, 1426
B, 1176, 2898
P, 1176, 0
D, 1176, 255
V, 1198, 2879
H, 1198, 0
C, 1198, 1426
B, 1200, 2898
P, 1200, 0
D, 1200, 255
V, 1222, 2879
H, 1222, 0
C, 1222, 1426
B, 1224, 2898
P, 1224, 0
D, 1224, 255
V, 1246, 2879
H, 1246, 0
C, 1246, 1426
B, 1248, 2898
P, 1248, 0
D, 1248, 255
V, 1270, 2879
H, 1270, 0
C, 1270, 1426
B, 1272, 2898
P, 1272, 0
D, 1272, 255
V, 1294, 2879
H, 1294, 0
C, 1294, 1426
B, 1296, 2898
P, 1296, 0
D, 1296, 255
V, 1318, 2879
H, 1318, 0
C, 1318, 1426
B, 1320, 2898
P, 1320, 0
D, 1320, 255
B, 1340, 2898
P, 1340, 1
D, 1340, 15
V, 1342, 2879
H, 1342, 1
C, 1342, 1334
B, 1344, 2898
P, 1344, 0
D, 1344, 255
V, 1346, 2879
H, 1346, 0
C, 1346, 1426
V, 1366, 2879
H, 1366, 0
C, 1366, 1426
B, 1368, 2898
P, 1368, 0
D, 1368, 255
V, 1390, 2879
H, 1390, 0
C, 1390, 1426
B, 1392, 2898
P, 1392, 0
D, 1392, 255
V, 1414, 2879
H, 1414, 0
C, 1414, 1426
B, 1416, 2898
P, 1416, 0
D, 1416, 255
V, 1438, 2879
H, 1438, 0
C, 1438, 1426
B, 1440, 2898
P, 1440, 0
D, 1440, 255
V, 1462, 2879
H, 1462, 0
C, 1462, 1426
B, 1464, 2898
P, 1464, 0
D, 1464, 255
V, 1486, 2879
H, 1486, 0
C, 1486, 1426
B, 1488, 2898
P, 1488, 0
D, 1488, 255
V, 1510, 2879
H, 1510, 0
C, 1510, 1426
B, 1512, 2898
P, 1512, 0
D, 1512, 255
V, 1534, 2879
H, 1534, 0
C, 1534, 1426
B, 1536, 2898
P, 1536, 0
D, 1536, 255
V, 1558, 2879
H, 1558, 0
C, 1558, 1426
B, 1560, 2898
P, 1560, 0
D, 1560, 255
B, 1572, 2898
P, 1572, 1
D, 1572, 18
B, 1576, 2898
P, 1576, 0
D, 1576, 255
V, 1582, 2879
H, 1582, 0
C, 1582, 1426
B, 1584, 2898
P, 1584, 0
D, 1584, 255
V, 1606, 2879
H, 1606, 0
C, 1606, 1426
B, 1608, 2898
P, 1608, 0
D, 1608, 255
B, 1620, 2898
P, 1620, 1
D, 1620, 10
V, 1622, 2879
H, 1622, 1
C, 1622, 1340
B, 1628, 2898
P, 1628, 0
D, 1628, 255
V, 1630, 2879
H, 1630, 0
C, 1630, 1428
B, 1632, 2898
P, 1632, 0
D, 1632, 255
V, 1654, 2879
H, 1654, 0
C, 1654, 1428
B, 1656, 2898
P, 1656, 0
D, 1656, 255
V, 1678, 2879
H, 1678, 0
C, 1678, 1428
B, 1680, 2898
P, 1680, 0
D, 1680, 255
V, 1702, 2879
H, 1702, 0
C, 1702, 1428
B, 1704, 2898
P, 1704, 0
D, 1704, 255
V, 1726, 2879
H, 1726, 0
C, 1726, 1428
B, 1728, 2898
P, 1728, 0
D, 1728, 255
B, 1736, 2898
P, 1736, 1
D, 1736, 9
V, 1738, 2879
H, 1738, 1
