3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100001	1.39071e-08	0.00100001	1.92178e-09
2	-0.008022	0.002	0.00200001	1.37512e-08	0.00200001	2.80894e-09
3	-0.0107254	0.003	0.00300001	1.362e-08	0.00300001	3.55304e-09
4	-0.0143399	0.004	0.00400001	1.35102e-08	0.00400001	4.17444e-09
5	-0.0191724	0.005	0.00500001	1.34167e-08	0.00500001	4.67326e-09
6	-0.0256335	0.006	0.00600001	1.33356e-08	0.00600001	5.04182e-09
7	-0.034272	0.007	0.00700001	1.32646e-08	0.00700001	5.29097e-09
8	-0.0458217	0.008	0.00800001	1.32032e-08	0.00800001	5.45862e-09
9	-0.0612636	0.009	0.00900001	1.31515e-08	0.00900001	5.5787e-09
10	-0.0819094	0.01	0.01	1.31097e-08	0.01	5.67015e-09
11	-0.109513	0.011	0.011	1.30761e-08	0.011	5.7411e-09
12	-0.146419	0.012	0.012	1.30484e-08	0.012	5.7958e-09
13	-0.195762	0.013	0.013	1.30235e-08	0.013	5.83709e-09
14	-0.261734	0.014	0.014	1.29984e-08	0.014	5.86633e-09
15	-0.349938	0.015	0.015	1.29713e-08	0.015	5.88455e-09
16	-0.467867	0.016	0.016	1.29415e-08	0.016	5.89319e-09
17	-0.625538	0.017	0.017	1.29097e-08	0.017	5.89411e-09
18	-0.836344	0.018	0.018	1.28774e-08	0.018	5.88988e-09
19	-1.11819	0.019	0.019	1.2848e-08	0.019	5.88434e-09
20	-1.49502	0.02	0.02	1.2862e-08	0.02	5.91912e-09
3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100001	1.27854e-08	0.00100001	1.26173e-09
2	-0.008022	0.002	0.00200001	1.26614e-08	0.00200001	2.10789e-09
3	-0.0107254	0.003	0.00300001	1.25558e-08	0.00300001	2.80523e-09
4	-0.0143399	0.004	0.00400001	1.2464e-08	0.00400001	3.36266e-09
5	-0.0191724	0.005	0.00500001	1.2383e-08	0.00500001	3.77763e-09
6	-0.0256335	0.006	0.00600001	1.23111e-08	0.00600001	4.05956e-09
7	-0.034272	0.007	0.00700001	1.22484e-08	0.00700001	4.24821e-09
8	-0.0458217	0.008	0.00800001	1.21966e-08	0.00800001	4.384e-09
9	-0.0612636	0.009	0.00900001	1.21562e-08	0.00900001	4.49003e-09
10	-0.0819094	0.01	0.01	1.2126e-08	0.01	4.57571e-09
11	-0.109513	0.011	0.011	1.21027e-08	0.011	4.64388e-09
12	-0.146419	0.012	0.012	1.20826e-08	0.012	4.69629e-09
13	-0.195762	0.013	0.013	1.20621e-08	0.013	4.73432e-09
14	-0.261734	0.014	0.014	1.20386e-08	0.014	4.75907e-09
15	-0.349938	0.015	0.015	1.2011e-08	0.015	4.77197e-09
16	-0.467867	0.016	0.016	1.19796e-08	0.016	4.77497e-09
17	-0.625538	0.017	0.017	1.19459e-08	0.017	4.77087e-09
18	-0.836344	0.018	0.018	1.19128e-08	0.018	4.76298e-09
19	-1.11819	0.019	0.019	1.18903e-08	0.019	4.76236e-09
20	-1.49502	0.02	0.02	1.20161e-08	0.02	4.90708e-09
3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100001	1.37988e-08	0.00100001	5.18296e-09
2	-0.008022	0.002	0.00200001	1.36371e-08	0.00200001	5.57007e-09
3	-0.0107254	0.003	0.00300001	1.3503e-08	0.00300001	5.9274e-09
4	-0.0143399	0.004	0.00400001	1.33911e-08	0.00400001	6.25092e-09
5	-0.0191724	0.005	0.00500001	1.32965e-08	0.00500001	6.53274e-09
6	-0.0256335	0.006	0.00600001	1.32149e-08	0.00600001	6.76229e-09
7	-0.034272	0.007	0.00700001	1.3143e-08	0.00700001	6.93489e-09
