Signal Name	Direction	Pin	b2b_conn	carrier_conn	NO_USE
					
dummy_reset	Input	D9	dummy_reset	*****	
Led[0]	Output	L15	LEDS[1]	*****	
Led[1]	Output	R17	LEDS[2]	*****	
sys_clk	Input	P17	sys_clk	*****	
uart_rx	Input	R11	uart_rx	*****	
uart_tx	Output	L16	uart_tx	*****	
I2C_SCL	BiDir	J18	JB1-39	J13-16	
I2C_SDA	BiDir	A15	JB1-58	J13-17	
take_event	Input	B12	JB1-99	J11-05	
psd_sout	Input	A18	JB1-44	J11-06	
psd_sin	Output	C14	JB1-87	J11-07	
psd_sclk	Output	C16	JB1-81	J11-08	
delay_data	Output	G17	JB1-71	J11-09	
delay_clk	Output	H17	JB1-69	J11-10	
delay_en_l[0]	Output	J13	JB1-57	J11-11	
delay_en_l[1]	Output	K13	JB1-55	J11-12	
delay_en_l[2]	Output	F18	JB1-47	J11-13	
delay_en_l[3]	Output	G18	JB1-45	J11-14	
delay_en_l[4]	Output	D18	JB1-37	J11-15	
delay_en_l[5]	Output	E18	JB1-35	J11-16	
board_id[0]	Input	B17	JB1-46	J11-17	
board_id[1]	Input	B18	JB1-42	J11-18	
board_id[2]	Input	V12	JB2-14	J11-19	
board_id[3]	Input	N14	JB2-16	J11-20	
board_id[4]	Input	T11	JB2-32	J11-21	
board_id[5]	Input	T10	JB2-36	J11-22	
common_stop	Input	H4	JB2-48	J11-23	
glob_ena	Input	E2	JB2-52	J11-24	
event_ena	Input	G2	JB2-64	J11-25	
force_reset	Input	G6	JB2-66	J11-26	
busy_out	Output	H2	JB2-62	J11-27	
mux_en	Output	D7	JB2-74	J11-28	
mux_sel[0]	Output	J4	JB2-46	J11-29	
mux_sel[1]	Output	D2	JB2-54	J11-30	
mux_sel[2]	Output	J5	JB2-99	J11-31	
mux_sel[3]	Output	B6	JB2-95	J11-32	
dac_ld	Output	A4	JB2-87	J11-33	
dac_sclk	Output	A3	JB2-85	J11-34	
dac_din	Output	B2	JB2-81	J11-35	
cfd_stb	Output	A1	JB2-77	J11-36	
cfd_write	Output	E1	JB2-67	J11-37	
cfd_neg_pol	Output	C1	JB2-71	J11-38	
cfd_reset	Output	H1	JB2-61	J11-39	
cfd_global_ena	Output	G1	JB2-63	J11-40	
cfd_ad[0]	Output	B14	JB1-93	J13-05	
cfd_ad[1]	Output	B13	JB1-95	J13-06	
cfd_ad[2]	Output	A14	JB1-70	J13-07	
cfd_ad[3]	Output	C17	JB1-79	J13-08	
cfd_ad[4]	Output	D17	JB1-77	J13-09	
cfd_ad[5]	Output	E17	JB1-75	J13-10	
cfd_ad[6]	Output	J15	JB1-61	J13-11	
cfd_ad[7]	Output	K15	JB1-59	J13-12	
Conv_0	Output	H15	JB1-51	J13-13	
sdo_t_0	Input	J14	JB1-49	J13-14	
adc_sclk_0	Output	J17	JB1-41	J13-15	
?	?				X
?	?				X
?	?	A16	JB1-56	J13-18	X
?	?	D13	JB1-52	J13-19	X
?	?	D12	JB1-50	J13-20	X
?	?	B16	JB1-48	J13-21	X
?	?	U12	JB2-12	J13-22	X
?	?	P14	JB2-18	J13-23	X
?	?	H5	JB2-44	J13-24	X
?	?	F6	JB2-68	J13-25	X
?	?	G4	JB2-56	J13-26	X
?	?	G3	JB2-58	J13-27	X
?	?	E7	JB2-72	J13-28	X
?	?	T9	JB2-38	J13-29	X
?	?	H6	JB2-42	J13-30	X
?	?	K2	JB2-35	J13-31	X
?	?	B7	JB2-97	J13-32	X
?	?	U11	JB2-34	J13-33	X
?	?	A5	JB2-91	J13-34	X
?	?	B3	JB2-83	J13-35	X
?	?	B1	JB2-75	J13-36	X
?	?	C2	JB2-73	J13-37	X
?	?	F1	JB2-65	J13-38	X
?	?	E3	JB2-55	J13-39	X
?	?	D3	JB2-57	J13-40	X
